stud_no,stud_name,stud_age,stud_degree_program
2016-22670,Falkner Hazley,20,BSEE
2005-87363,Suki Sugars,16,BSABE
2005-47914,Gerry Macguire,22,BSABE
2016-56212,Lois Lewsley,16,BSEE
2006-67192,Joellen Legg,25,BSABE
2006-23590,Cecile Marquet,27,BSABE
2005-16305,Rina Lehrmann,26,BSEE
2015-60445,Rivi Radclyffe,26,BSIE
2005-68544,Talya Costard,20,BSABE
2006-68232,Valentia Lucks,18,BSEE
2016-32525,Suellen Tatlock,23,BSABE
2005-07350,Had Rattry,22,BSEE
2006-44969,Keely McGairl,23,BSABE
2016-51588,Humfrid Gillyatt,29,BSABE
2016-62498,Brittne Caustic,30,BSABE
2005-44169,Mina Diess,30,BSABE
2006-41449,Joanna Willavoys,20,BSABE
2016-18698,Webster Cosins,18,BSCHE
2016-34253,Archibald Godman,16,BSABT
2016-72286,Gilemette Firidolfi,22,BSA
2015-92558,Tonya Bolesworth,19,BSABT
2006-25695,Ogdan Sinderland,19,BSCHE
2016-68432,Noble Leat,16,BSCHE
2006-41093,Gabie Ratazzi,26,BSABE
2016-78256,Quintina Girardet,29,BSCHE
2015-05349,Nicky Justham,26,BSABE
2005-97323,Gertruda Whitcher,22,BSCHE
2016-81211,Henderson Merredy,25,BSABE
2005-00431,Kinny Clouter,27,BSABE
2016-47350,Carlynn aManger,16,BSABE
2016-06637,Ernestus Barry,19,BSABE
2015-09339,Sallie Gerard,19,BSABE
2016-40990,Dorine O'Corrin,19,BSCE
2016-55931,Charlton Proom,28,BSABE
2006-33814,Lonnard Pedder,17,BSCHE
2015-77420,Buiron Digger,20,BSABE
2005-57123,Fabien Szapiro,26,BSABE
2016-05384,Morlee Parlot,27,BSCHE
2015-05390,Dorian Mountford,17,BSEE
2015-53719,Derrek Fernier,20,BSABE
2006-09419,Svend Slyne,30,BSABE
2006-82142,Trefor Brisland,17,BSABE
2016-83551,Kirsteni Havile,30,BSEE
2005-20952,Morissa Goodluck,25,BSABE
2005-91818,Brooks Simmank,16,BSABE
2005-41573,Shaughn Bloan,16,BSABE
2006-68537,Daven Riches,27,BSEE
2006-64534,Nisse Hauck,22,BSEE
2006-57039,Svend Treadger,17,BSABE
2005-75674,Dodi Dy,26,BSABE
2015-90114,Dewitt Janauschek,24,BSABE
2015-80770,Larry Noell,27,BSCHE
2015-37289,Honoria Tewes,19,BSABE
2016-64726,Bili Mattholie,28,BSCHE
2016-45720,Bastian Bwye,16,BSABE
2015-51047,Eduardo Pavlik,16,BSABE
2016-45493,Ryun Roman,29,BSABE
2016-91806,Taddeusz Purle,20,BSEE
2015-30961,Haroun Juste,28,BSABE
2015-85056,Francklyn Inwood,19,BSEE
2015-85537,Cos McLarens,26,BSEE
2015-60718,Nevsa Norval,27,BSCE
2005-62867,Babb Roussell,17,BSABE
2006-89213,Jaclin Ber,16,BSABE
2016-72849,Selia Van de Vlies,25,BSABE
2006-15835,Mischa Carding,26,BSEE
2005-61637,Sheilah Hannent,17,BSABE
2005-42510,Philipa Scrivinor,22,BSABE
2005-10251,Charity Hasell,19,BSABE
2006-88042,Welsh Foulger,22,BSEE
2016-39787,Tamara Privost,19,BSABE
2005-66053,Billy Ivanitsa,23,BSABE
2005-16000,Trent Morl,19,BSABE
2015-65801,Benedicto Tuvey,16,BSABE
2005-52316,Vernen Spottswood,29,BSIE
2015-65514,Ashlen Blondell,23,BSEE
2016-94807,Carter Camilio,30,BSABE
2006-07461,Nomi Payn,26,BSCHE
2005-27177,Ludvig Wickardt,30,BSABE
2006-51538,Hannie Pietzner,23,BSCHE
2005-03630,Sydney Crickmore,22,BSABE
2005-68683,Neila Nodes,27,BSEE
2015-89375,Stevena Bernard,25,BSIE
2016-64697,Ethan Woodland,28,BSCE
2015-92588,Tammy Kindleside,20,BSABT
2005-93991,Georgie Sackey,20,BSABE
2005-13250,Rem MacCole,25,BSEE
2006-57839,Feliza Kidson,25,BSABE
2016-32058,Gib Bossom,23,BSEE
2006-89664,Cate Gurys,26,BSEE
2005-02018,Jedd Tunnadine,22,BSABE
2016-79035,Coretta Corro,16,BSABE
2015-50718,Berry Mustill,21,BSEE
2005-05743,Hersch Wanden,22,BSABE
2005-62659,Mel Eva,21,BSCHE
2006-11956,Lonny Sabathe,24,BSABE
2005-18059,Amandie Suarez,21,BSCE
2006-83306,Basilius Courtese,22,BSEE
2005-56580,Elvin Rolse,24,BSEE
2006-54758,Trevar Diboll,29,BSABE
2005-94284,Zebadiah Tottem,27,BSCHE
2016-34017,Suki Spacey,16,BSEE
2016-10331,Fredia Asipenko,24,BSEE
2015-01623,Major Beckett,28,BSDC
2015-97196,Glynn Pandey,26,BSCHE
2016-92330,Dallis Sitford,17,BSABE
2016-77692,Janet MacGiffin,28,BSCHE
2005-63070,Calypso Spellman,29,BSABE
2005-77210,Berkie Hawkings,21,BSEE
2016-87755,Delmor Mollin,19,BSEE
2015-72542,Malchy O'Corrin,20,BSABE
2005-30269,Sargent Lacelett,25,BSEE
2015-74919,Kenn Morales,28,BSEE
2015-31426,Cymbre Cleworth,17,BSEE
2005-69831,Sherwin Jeannequin,28,BSCHE
2006-83572,Carmelina Harvey,16,BSABE
2016-22060,Lin Cliburn,27,BSCHE
2006-76850,Hedwig McArley,21,BSEE
2016-03932,Carena Horbart,20,BSABE
2015-52224,Huberto Batman,28,BSABE
2006-56884,Marji Grunder,25,BSABE
2005-99908,Orlan Peaple,30,BSABE
2006-66863,Thayne Larcier,16,BSABE
2015-42427,Finlay Kingescot,17,BSABE
2016-23881,Elie Keene,22,BSABE
2005-39862,Erin Glanester,20,BSCHE
2015-37200,Jeanna Deguara,21,BSABE
2005-62840,Dillie Twiddell,27,BSABE
2005-46108,Olly Flaonier,29,BSEE
2006-13872,Asher Quigley,28,BSABE
2015-52281,Brigitta Tomley,24,BSABE
2015-70589,Toni Gras,24,BSABE
2005-55226,Nikolaus Ibbeson,25,BSABE
2005-64175,Glendon Rubberts,30,BSABE
2016-32056,Kylen Puttrell,27,BSCHE
2006-52733,Bo Gaine of England,24,BSEE
2006-01767,Janeta Guiet,24,BSEE
2006-38396,Lemmie Doudny,27,BSABE
2006-13853,Reynard Darter,29,BSABE
2006-07116,Frances Tinner,18,BSIE
2015-12524,Garrott Ginman,28,BSCHE
2006-37261,Lucho Macklin,17,BSABE
2005-28656,Hatty Christene,20,BSABE
2015-87372,Sonnie Drees,27,BSABE
2015-88830,Torrey Josefsohn,19,BSEE
2016-42517,Aeriell McCuish,30,BSABE
2015-79261,Gill McClenan,19,BSABE
2005-17605,Yank Mallock,19,BSCHE
2015-37837,Elspeth Immer,22,BSIE
2005-70583,Luisa Marchington,19,BSCHE
2006-04962,Ira Tryhorn,20,BSABE
2005-08941,Ynes Milberry,29,BSEE
2006-96586,Vachel Schubuser,17,BSABE
2006-19381,Cassondra Ruckhard,16,BSABE
2016-92681,Debbi Gregolin,28,BSABE
2016-98293,Karl Ducarne,25,BSABE
2015-12044,Rozamond Gobeau,28,BSEE
2006-35946,Ludovika Knight,24,BSABE
2016-97429,Killy Dymick,21,BSEE
2006-41747,Gael Folder,17,BSCHE
2006-89622,Estevan Camilli,17,BSABE
2005-08600,Owen Doxsey,20,BSDC
2005-34429,Bastian Endrighi,29,BSABE
2016-58584,Lavina Goodwill,19,BSEE
2015-06107,Nye Kinlock,18,BSABE
2016-48518,Riccardo Willox,30,BSABE
2006-95056,Arch Dominichelli,27,BSABE
2015-64188,Hannah Grasner,16,BSCE
2006-44466,Sophronia Gorbell,23,BSABE
2006-29873,Kaitlynn Vossgen,18,BSEE
2015-78067,Burnaby Vaudre,21,BSCHE
2006-40559,Cammie Frankes,17,BSABE
2006-67015,Angy Feltham,20,BSABE
2006-09574,Trumann Spurling,18,BSABE
2016-81409,Geoffrey Pyser,20,BSEE
2016-13298,Kelsey Mitchenson,29,BSCHE
2015-68728,Tracie Eynaud,21,BSABE
2006-65711,Rodi Aitchinson,26,BSCHE
2005-87670,Benny Loosely,29,BSABE
2006-36263,Nessie Chataignier,24,BSABE
2006-70490,Loutitia Gilmour,28,BSABE
2005-54362,Ami Crellin,20,BSEE
2015-17223,Christophorus Hedgeley,23,BSCE
2015-93314,Jennette Fosserd,16,BSCHE
2005-50495,Prescott Kingstne,27,BSEE
2005-09097,Ed Allgood,18,BSABE
2015-38902,Naoma Inchcomb,21,BSCHE
2005-07453,Jacqui Foxwell,19,BSABE
2005-84817,Ki MacCaffrey,16,BSEE
2006-06406,Clemence Clewley,21,BSABE
2006-23381,Portia Hodgins,28,BSABT
2015-66152,Tabbi Cropper,17,BSABE
2006-59518,Zaccaria Doby,16,BSEE
2006-86345,Elna Strettle,28,BSEE
2005-24603,Tommy Fussey,22,BSIE
2005-44668,Quintina Redon,21,BSCHE
2006-44456,Kalila Marwick,29,BSABE
2015-69056,Vivyanne Beaven,30,BSCHE
2006-70411,Janeen Drinnan,26,BSABE
2015-62686,Kermy Hurburt,16,BSEE
2016-59396,Cassey Shooter,22,BSCHE
2015-71842,Vanessa Swanton,25,BSABE
2016-39821,Phaidra Gile,27,BSABE
